Medicine_ID,Medicine_Name,Batch_ID,Category,Purchase_Date,Expiry_Date,Stock_Quantity,Unit_Price,Total_Value,Daily_Sales,Weekly_Sales,Monthly_Sales,Sales_Velocity,Reorder_Level,Last_Restock_Date,Days_To_Expiry,Shelf_Life_Months,Supplier_ID,Storage_Condition,Risk_Level
MED_2150,Medicine_786,BATCH_616,Tablets,2023-01-06,2024-02-07,1109.0,216.95,240679.36,49.0,343,1470,36.36,202,2023-01-11,327,25,SUP_691,room temp,0
MED_6295,Medicine_330,BATCH_437,Tablets ,2023-05-20,2024-08-17,4433.0,359.74,1782992.07,85.0,595,2550,High,370,2023-08-21,149,13,SUP_676,Cool Dry,1
MED_7714,Medicine_709,BATCH_373,Inhalers,2023-04-28,2024-05-10,881.0,38.15,203358.89,1.0,7,30,46.81,307,2023-11-23,89,7,SUP_720,,1
MED_2779,Medicine_867,BATCH_511,Drops,2023-05-28,2024-07-05,3603.0,497.8,509118.91,44.0,308,1320,26.7,216,2023-10-01,152,27,SUP_147,Ref,low risk
MED_7294,Medicine_499,BATCH_225,Lotions,2023-03-05,2024-05-26,4496.0,443.02,1761885.48,13.0,91,390,N/A,359,2023-08-01,82,6,SUP_722,,
MED_9302,Medicine_511,BATCH_621,Powders,2023-04-24,2024-04-02,4617.0,315.54,1161792.29,59.0,413,1770,34.63,203,2023-03-12,365,34,SUP_769,Room Temp,1
MED_6207,Medicine_638,BATCH_325,Drops,2023-10-18,2024-06-03,2467.0,265.1,975122.55,62.0,434,1860,7.97,328,2023-09-13,47,17,SUP_326,Cool Dry,0
MED_4022,Medicine_155,BATCH_216,Capsules ,2023-01-26,2024-03-15,2131.0,280.71,140892.26,80.0,560,2400,46.23,313,2023-11-08,304,17,SUP_295,,Low Risk
MED_6636,Medicine_845,BATCH_532,Ointments,2023-06-04,2024-12-28,1540.0,111.76,651961.98,55.0,385,1650,26.42,75,2023-12-16,342,31,SUP_106,Cool Dry,high risk
MED_4047,Medicine_859,BATCH_786,INJ,2023-02-28,2024-07-15,1374.0,313.6,266875.51,68.0,476,2040,19.94,481,2023-05-03,2,32,SUP_986,Room Temp,Low Risk
MED_1317,Medicine_867,BATCH_652,Capsules,2023-07-09,2024-02-16,2279.0,499.95,413594.22,96.0,672,2880,32.51,449,2023-11-02,15,36,SUP_353,Cool Dry,
MED_6506,Medicine_455,BATCH_373,Drops,2023-12-03,2024-03-07,123.0,214.86,20246.48,97.0,679,2910,4.83,164,2023-08-08,33,31,SUP_578,room temp,High Risk
MED_6480,Medicine_451,BATCH_165,Inhalers,2023-01-06,2024-12-26,4485.0,417.55,1762962.57,41.0,287,1230,13.55,197,2023-11-09,281,18,SUP_592,Cool Dry,Medium Risk
MED_9443,Medicine_536,BATCH_576,injections,2023-07-28,2024-11-06,320.0,411.8,13528.07,16.0,112,480,1.26,461,2023-10-13,272,18,SUP_242,Ref,1
MED_8921,Medicine_576,BATCH_546,Lotions,2023-05-20,2024-09-25,4274.0,167.93,556870.71,83.0,581,2490,N/A,192,2023-08-08,237,24,SUP_724,Ref,low
MED_1765,Medicine_434,BATCH_780,Syrups ,2023-11-12,2024-11-08,1941.0,385.38,369943.08,13.0,91,390,27.19,466,2023-04-22,257,23,SUP_145,room temp,1
MED_2032,Medicine_793,BATCH_986,Syrups,2023-07-14,Invalid,827.0,,56398.69,47.0,329,1410,5.56,187,2023-06-23,312,24,SUP_921,cool,Medium Risk
MED_7800,Medicine_342,BATCH_846,,2023-03-28,2024-06-06,206.0,406.79,97546.79,65.0,455,1950,35.38,459,2023-02-05,259,33,SUP_881,cool,low
MED_7280,Medicine_646,BATCH_131,Syrups,2023-01-14,2024-04-28,1583.0,444.04,478546.57,32.0,224,960,18.19,141,2023-05-02,205,16,SUP_165,Room Temp,0
MED_2596,Medicine_503,BATCH_182,Powders,2023-03-17,2024-11-18,1877.0,474.29,619301.29,70.0,490,2100,29.06,217,2023-11-17,274,33,SUP_891,Room Temp,1
MED_3008,Medicine_731,BATCH_216,INJ,2023-06-26,2024-11-23,3076.0,365.99,1390508.67,69.0,483,2070,22.26,369,2023-07-28,4,32,SUP_553,cool,Low Risk
MED_5342,Medicine_176,BATCH_878,Syrups,2023-01-26,2024-07-17,4493.0,404.41,985721.98,7.0,49,210,43.65,372,2023-01-28,32,11,SUP_248,,Low Risk
MED_5055,Medicine_584,BATCH_680,Capsules ,2023-03-17,2024-08-17,4580.0,256.43,2215650.71,96.0,672,2880,9.85,296,2023-09-25,28,25,SUP_328,Room Temp,Low 
MED_3100,Medicine_664,BATCH_412,Ointments,2023-03-04,2024-08-07,2600.0,,694204.29,17.0,119,510,46.31,393,2023-03-19,273,7,SUP_779,Cool Dry,High Risk
MED_4387,Medicine_562,BATCH_605,Capsules,2023-03-15,2024-06-05,1378.0,68.8,396557.55,3.0,21,90,48.49,349,2023-07-11,257,28,SUP_633,room temp,YES
MED_8923,Medicine_934,BATCH_930,Tablets,2023-01-04,2024-02-05,1507.0,Negotiable,120214.34,,112,480,47.81,239,2023-10-24,114,13,SUP_764,Ref,Medium Risk
MED_6081,Medicine_332,BATCH_710,INJ,2023-04-27,2024-10-13,2492.0,240.38,603813.92,15.0,105,450,1.65,500,2023-02-03,299,31,SUP_407,Room Temp,low risk
MED_1955,Medicine_989,BATCH_222,Powders,2023-04-14,2024-03-18,92.0,255.36,38631.63,20.0,140,600,36.88,364,2023-11-28,187,36,SUP_298,Room Temp,Low Risk
MED_8999,Medicine_115,BATCH_115,Tablets ,2023-06-10,2024-01-15,2508.0,457.75,1153496.44,46.0,322,1380,16.1,309,2023-09-05,104,35,SUP_370,cool,
MED_7035,Medicine_847,BATCH_662,INJ,2023-03-05,2024-02-03,4348.0,55.27,2030258.08,45.0,315,1350,14.04,130,2023-04-12,336,14,SUP_856,Cool Dry,low
MED_2479,Medicine_380,BATCH_494,Capsules,2023-03-25,2024-04-20,3705.0,413.48,1594966.66,88.0,616,2640,39.57,500,2023-11-16,133,24,SUP_803,,low risk
MED_5509,Medicine_675,BATCH_224,Syrups ,2023-08-12,2024-05-26,4041.0,483.38,1367377.54,87.0,609,2610,4.35,301,2023-03-24,40,17,SUP_517,room temp,high risk
MED_7523,Medicine_834,BATCH_642,,2023-10-03,2024-02-10,4519.0,267.59,1748358.76,16.0,112,480,41.17,87,2023-03-11,328,8,SUP_560,room temp,0
MED_2080,Medicine_270,BATCH_304,,2023-12-28,2024-01-06,1535.0,346.3,573854.19,18.0,126,540,43.31,233,2023-06-01,106,30,SUP_323,Room Temp,High Risk
MED_1451,Medicine_989,BATCH_739,Tablets,2023-04-09,2024-08-05,4471.0,29.05,390381.57,91.0,637,2730,9.23,199,2023-01-12,49,19,SUP_373,,1
MED_9283,Medicine_393,BATCH_367,Lotions,2023-11-11,2024-09-22,240.0,112.62,100320.34,64.0,448,1920,6.72,107,2023-04-06,220,33,SUP_909,Ref,YES
MED_4965,Medicine_966,BATCH_687,Capsules ,2023-08-28,2024-01-02,864.0,118.56,78188.44,60.0,420,1800,7.09,497,2023-05-27,-30,23,SUP_387,Ref,NO
MED_6681,Medicine_985,BATCH_227,Drops,2023-08-22,,3587.0,48.28,243822.73,7.0,49,210,29.85,475,2023-08-26,246,16,SUP_237,,0
MED_7571,Medicine_628,BATCH_917,Tablets ,2023-03-10,2024-07-28,1491.0,,98799.22,98.0,686,2940,29.64,84,2023-08-12,36,20,SUP_206,Cool Dry,
MED_2211,Medicine_902,BATCH_321,Tablets ,2023-03-25,2024-10-17,214.0,486.24,60108.91,97.0,679,2910,12.47,315,2023-09-05,277,29,SUP_445,Refrigerated,0
MED_3975,Medicine_473,BATCH_212,Drops,2023-03-06,2024-09-05,1290.0,24.69,141897.01,53.0,371,1590,20.18,241,2023-05-20,164,6,SUP_902,Room Temp,high
MED_2328,Medicine_146,BATCH_620,Injections,2023-10-19,2024-10-15,3237.0,385.38,666855.48,15.0,105,450,7.34,106,2023-04-21,116,20,SUP_870,Ref,high
MED_4037,Medicine_121,BATCH_948,Capsules,2023-09-27,2024-01-16,2839.0,283.15,949309.16,94.0,658,2820,17.77,460,2023-01-03,291,34,SUP_609,Refrigerated,
MED_5337,Medicine_778,BATCH_341,Tablets ,2023-09-22,2024-11-06,4944.0,40.07,1469185.28,21.0,147,630,24.42,99,2023-12-08,171,13,SUP_877,Cool Dry,1
MED_8628,Medicine_617,BATCH_757,Sprays,2023-06-04,2024-08-10,3628.0,241.18,692523.03,51.0,357,1530,34.52,276,2023-08-08,177,11,SUP_766,Cool Dry,high
MED_9647,Medicine_399,BATCH_452,Ointments,2023-10-22,2024-07-07,3520.0,208.22,1054160.32,27.0,189,810,45.54,197,2023-05-08,315,33,SUP_227,Ref,
MED_1945,Medicine_365,BATCH_255,INJ,2023-04-08,2024-11-05,597.0,14.46,173358.16,91.0,637,2730,44.31,475,2023-07-08,119,10,SUP_508,room temp,Medium Risk
MED_9122,Medicine_382,BATCH_303,Ointments,2023-11-23,2024-05-24,4825.0,383.7,890865.79,68.0,476,2040,17.19,81,2023-12-16,12,31,SUP_431,cool,1
MED_6225,Medicine_733,BATCH_319,Capsules,2023-10-27,2024-07-17,2906.0,203.58,1092609.97,5.0,35,150,2.89,172,2023-01-17,292,26,SUP_705,,0
MED_7165,Medicine_138,BATCH_592,Injections,2023-11-27,2024-10-19,4068.0,208.77,486526.32,34.0,238,1020,49.48,129,2023-08-15,108,23,SUP_411,Refrigerated,1
MED_7919,Medicine_774,BATCH_422,Drops,2023-03-27,2024-06-24,2650.0,13.64,1043493.87,57.0,399,1710,47.71,262,2023-02-16,171,10,SUP_143,Cool Dry,high risk
MED_5207,Medicine_744,BATCH_664,Inhalers,2023-05-15,2024-01-08,2640.0,499.82,1143683.19,95.0,665,2850,29.36,144,2023-07-23,158,25,SUP_953,cool,YES
MED_4662,Medicine_941,BATCH_335,injections,2023-06-12,2024-07-28,1351.0,209.74,575124.19,67.0,469,2010,33.18,466,2023-03-08,171,10,SUP_992,Ref,NO
MED_1276,Medicine_754,BATCH_430,Sprays,2023-03-10,2024-10-21,2085.0,362.63,892204.92,40.0,280,1200,10.98,154,2023-08-03,182,13,SUP_476,,1
MED_2338,Medicine_743,BATCH_999,Tablets ,2023-09-06,2024-03-02,1905.0,429.77,591440.57,52.0,364,1560,46.37,299,2023-10-14,283,17,SUP_394,room temp,Medium Risk
MED_9496,Medicine_170,BATCH_491,Sprays,2023-09-09,2024-04-17,4239.0,269.44,1823710.06,6.0,42,180,35.68,150,2023-11-01,304,25,SUP_132,room temp,High Risk
MED_4775,Medicine_547,BATCH_612,injections,2023-10-17,2024-09-22,3244.0,125.28,1038164.79,60.0,420,1800,41.62,392,2023-05-24,158,34,SUP_693,cool,Low Risk
MED_5664,Medicine_126,BATCH_385,Capsules,2023-02-10,2024-03-16,198.0,434.22,4585.49,29.0,203,870,3.44,203,2023-07-22,59,11,SUP_412,Refrigerated,NO
MED_2671,Medicine_825,BATCH_916,injections,2023-03-04,2024-03-21,3069.0,366.27,40159.84,5.0,35,150,,93,2023-07-19,196,33,SUP_766,room temp,
MED_7183,Medicine_200,BATCH_153,Capsules ,2023-05-04,2024-12-07,4304.0,314.45,1419199.87,67.0,469,2010,31.68,64,2023-03-17,11,10,SUP_372,Room Temp,Low Risk
MED_1821,Medicine_191,BATCH_844,Drops,2023-03-15,2024-08-23,4020.0,294.61,1614420.01,95.0,665,2850,23.41,244,2023-02-13,163,15,SUP_970,room temp,high risk
MED_4434,Medicine_910,BATCH_981,Drops,2023-07-04,2024-02-03,1669.0,245.68,581063.37,23.0,161,690,47.42,240,2023-03-19,355,29,SUP_929,Room Temp,Medium Risk
MED_6308,Medicine_448,BATCH_592,Capsules,2023-06-03,2024-04-01,948.0,265.68,303715.26,41.0,287,1230,21.28,427,2023-03-22,51,15,SUP_410,Refrigerated,
MED_3251,Medicine_284,BATCH_335,INJ,2023-02-06,2024-05-16,2253.0,457.74,70626.63,96.0,672,2880,14.88,85,2023-10-16,176,12,SUP_942,room temp,High Risk
MED_2178,Medicine_629,BATCH_512,Sprays,2023-03-10,2024-01-13,2023.0,208.06,374686.82,29.0,203,870,,126,2023-08-09,189,6,SUP_475,Ref,YES
MED_8059,Medicine_891,BATCH_948,,2023-07-02,2024-04-25,TBD,168.66,382938.5,66.0,462,1980,13.33,418,2023-11-10,229,9,SUP_793,Refrigerated,low
MED_3617,Medicine_412,BATCH_459,Drops,2023-09-01,2024-04-24,4903.0,201.2,1305981.19,50.0,350,1500,30.11,424,2023-02-27,187,25,SUP_405,Ref,Medium Risk
MED_7522,Medicine_564,BATCH_830,Powders,2023-05-25,2024-03-01,,389.0,196820.0,99.0,693,2970,33.75,284,2023-07-23,44,11,SUP_616,room temp,high risk
MED_4528,Medicine_741,BATCH_623,Tablets ,2023-04-19,2024-11-17,1772.0,106.33,274771.75,36.0,252,1080,20.95,67,2023-02-12,227,32,SUP_577,cool,low risk
MED_7850,Medicine_528,BATCH_520,Inhalers,2023-03-22,2024-02-13,3801.0,321.84,1190660.3,83.0,581,2490,6.93,367,2023-09-03,306,24,SUP_849,room temp,High Risk
MED_8883,Medicine_143,BATCH_315,Powders,2023-11-02,2024-05-19,3473.0,159.44,39512.69,34.0,238,1020,3.51,101,2023-02-12,182,21,SUP_870,Ref,
MED_3437,Medicine_640,BATCH_995,Inhalers,2023-01-21,,585.0,234.71,218389.78,52.0,364,1560,29.85,369,2023-08-06,214,13,SUP_346,Cool Dry,1
MED_8480,Medicine_417,BATCH_964,Powders,2023-10-01,2024-10-20,1728.0,416.74,199518.2,4.0,28,120,N/A,261,2023-07-04,357,31,SUP_281,room temp,high
MED_8722,Medicine_821,BATCH_808,OM,2023-06-01,2024-01-16,533.0,114.79,47747.71,86.0,602,2580,12.73,244,2023-03-27,270,17,SUP_947,room temp,high risk
MED_4228,Medicine_545,BATCH_501,Capsules ,2023-02-07,2024-04-22,2750.0,368.1,44118.77,34.0,238,1020,25.89,355,2023-02-11,220,28,SUP_877,Refrigerated,0
MED_1343,Medicine_520,BATCH_318,Syrups,2023-09-18,2024-03-05,588.0,267.87,289404.28,98.0,686,2940,41.1,112,2023-08-13,32,26,SUP_744,Ref,YES
MED_5595,Medicine_655,BATCH_777,injections,2023-08-03,2024-04-12,703.0,,261077.81,9.0,63,270,21.45,181,2023-01-20,197,15,SUP_680,cool,high
MED_6852,Medicine_842,BATCH_960,Injections,2023-06-27,2024-12-22,3264.0,129.85,759802.13,88.0,616,2640,45.19,355,2023-08-28,335,32,SUP_745,room temp,NO
MED_5609,Medicine_188,BATCH_641,Sprays,2023-09-27,2024-06-10,1895.0,132.4,625006.72,7.0,49,210,43.25,77,2023-11-06,346,6,SUP_745,cool,high risk
MED_7414,Medicine_306,BATCH_808,Syrups,2023-09-02,2024-09-13,3382.0,185.12,1095372.4,53.0,371,1590,4.9,277,2023-08-14,232,15,SUP_543,room temp,Medium Risk
MED_5321,Medicine_512,BATCH_540,Tablets ,2023-02-18,2024-04-19,906.0,396.75,19484.04,33.0,231,990,14.25,326,2023-05-21,115,33,SUP_493,Ref,High Risk
MED_7864,Medicine_581,BATCH_161,injections,2023-02-16,2024-02-17,1161.0,257.52,499767.94,51.0,357,1530,35.67,459,2023-08-05,13,8,SUP_890,room temp,low risk
MED_8768,Medicine_617,BATCH_393,Syrups,2023-02-23,2024-07-15,850.0,422.85,152334.27,65.0,455,1950,8.61,180,2023-05-22,184,14,SUP_368,room temp,High Risk
MED_1898,Medicine_286,BATCH_496,Sprays,2023-01-14,2024-04-12,99999.0,175.42,1268326.41,98.0,686,2940,14.43,321,2023-04-26,89,17,SUP_141,Refrigerated,Medium Risk
MED_9805,Medicine_416,BATCH_110,injections,2023-09-01,2024-01-13,1562.0,146.1,780010.74,59.0,413,1770,28.62,168,2023-09-28,185,16,SUP_475,Room Temp,1
MED_3481,Medicine_701,BATCH_918,injections,2023-03-23,,4253.0,60.28,1913541.87,,427,1830,16.72,443,2023-11-20,362,25,SUP_494,Refrigerated,High Risk
MED_8731,Medicine_800,BATCH_193,Capsules ,2023-04-06,2024-10-21,2662.0,21.13,810999.24,78.0,546,2340,39.49,249,2023-09-17,98,33,SUP_265,room temp,high
MED_9520,Medicine_422,BATCH_444,Tablets,2023-11-24,2024-02-10,1685.0,237.61,135129.46,46.0,322,1380,12.52,271,2023-03-26,216,6,SUP_494,room temp,low risk
MED_9951,Medicine_666,BATCH_951,Drops,2023-05-03,2024-07-07,3111.0,258.06,1430682.1,90.0,630,2700,0.67,419,2023-06-24,288,30,SUP_264,Refrigerated,Low Risk
MED_7609,Medicine_959,BATCH_962,Drops,2023-01-10,2024-05-03,3343.0,264.14,986943.71,28.0,196,840,15.35,161,2023-06-21,69,26,SUP_437,room temp,0
MED_3398,Medicine_553,BATCH_477,Inhalers,2023-06-01,2024-10-08,4309.0,72.97,1561190.61,-50.0,168,720,30.33,484,2023-09-24,202,12,SUP_993,Ref,0
MED_7167,Medicine_636,BATCH_697,Tablets ,2023-02-17,2024-12-24,2802.0,409.41,1377602.04,27.0,189,810,3.88,403,2023-06-10,284,32,SUP_176,cool,YES
MED_7974,Medicine_117,BATCH_931,,2023-01-23,2024-12-19,2165.0,257.18,762773.4,18.0,126,540,25.41,318,2023-10-07,294,11,SUP_806,Refrigerated,Medium Risk
MED_9848,Medicine_460,BATCH_222,Sprays,2023-10-10,2024-10-04,577.0,370.02,106050.56,37.0,259,1110,47.54,262,2023-12-02,106,23,SUP_389,cool,high
MED_2830,Medicine_145,BATCH_385,Injections,2023-05-20,2024-04-16,1100.0,237.77,111492.61,95.0,665,2850,,220,2023-12-04,3,13,SUP_765,Room Temp,NO
MED_9327,Medicine_663,BATCH_845,Capsules,2023-07-21,2024-09-20,2317.0,444.88,524199.77,19.0,133,570,23.81,374,2023-05-14,176,22,SUP_446,Ref,YES
MED_7157,Medicine_997,BATCH_307,Drops,2023-05-14,2024-01-07,3701.0,441.89,273263.8,50.0,350,1500,39.0,257,2023-03-05,255,9,SUP_736,Ref,Medium Risk
MED_4117,Medicine_601,BATCH_900,Ointments,2023-10-04,,819.0,192.67,368111.98,49.0,343,1470,28.79,130,2023-04-21,297,21,SUP_295,Refrigerated,Low Risk
MED_9524,Medicine_256,BATCH_738,Powders,2023-03-07,2024-04-05,2758.0,14.57,49529.38,93.0,651,2790,16.51,343,2023-02-07,104,34,SUP_110,Cool Dry,High Risk
MED_6786,Medicine_987,BATCH_820,Ointments,2023-11-04,2024-04-19,1702.0,Negotiable,850875.21,40.0,280,1200,39.4,246,2023-09-04,216,10,SUP_104,Cool Dry,low
MED_8159,Medicine_527,BATCH_697,Capsules ,2023-09-14,2024-05-16,4161.0,450.34,700698.06,45.0,315,1350,24.83,420,2023-01-11,60,23,SUP_516,,high
MED_4098,Medicine_974,BATCH_648,Sprays,2023-11-08,2024-01-25,4911.0,396.9,837637.33,54.0,378,1620,2.66,457,2023-05-28,64,33,SUP_620,FRIDGE,1
MED_1491,Medicine_707,BATCH_412,injections,2023-06-07,2024-05-02,2783.0,232.41,744958.94,86.0,602,2580,46.52,104,2023-02-10,163,20,SUP_477,,high risk
MED_1049,Medicine_889,BATCH_586,Cap ,2023-11-21,2024-11-03,2566.0,430.57,1053656.56,57.0,399,1710,3.75,227,2023-05-19,110,36,SUP_184,room temp,low risk
MED_4723,Medicine_177,BATCH_311,injections,2023-05-06,2024-07-26,736.0,86.2,188049.48,31.0,217,930,25.95,263,2023-01-11,132,26,SUP_802,cool,1
MED_8489,Medicine_164,BATCH_213,,2023-04-14,2024-11-26,998.0,302.4,18017.22,,42,180,25.77,173,2023-12-05,149,19,SUP_101,cool,high
MED_7335,Medicine_507,BATCH_955,Sprays,2023-02-21,2024-06-20,2800.0,311.37,651217.93,69.0,483,2070,44.49,463,2023-12-12,196,11,SUP_261,Refrigerated,low risk
MED_3993,Medicine_597,BATCH_801,INJ,2023-10-25,2024-03-21,2743.0,194.06,1211285.04,45.0,315,1350,40.59,202,2023-10-02,13,12,SUP_978,,
MED_1100,Medicine_104,BATCH_142,Drops,2023-02-20,32/01/2024,226.0,167.38,48201.37,47.0,329,1410,42.98,297,2023-05-10,361,25,SUP_953,Ref,high risk
MED_3481,Medicine_522,BATCH_807,Inhalers,2023-01-15,2024-06-14,900.0,211.08,350762.79,24.0,168,720,46.03,496,2023-12-24,31,28,SUP_241,cool,high risk
MED_8321,Medicine_736,BATCH_109,Drops,2023-10-22,2024-11-14,4728.0,26.04,2041058.43,30.0,210,900,11.01,466,2023-11-26,345,32,SUP_487,Cool Dry,YES
MED_3137,Medicine_695,BATCH_314,injections,2023-07-14,2024-09-16,1622.0,131.17,114799.62,73.0,511,2190,43.9,295,2023-09-14,279,7,SUP_662,Ref,0
MED_9947,Medicine_919,BATCH_717,Powders,2023-07-28,2024-07-18,2446.0,249.23,351583.89,96.0,672,2880,24.28,249,2023-06-22,347,31,SUP_514,Ref,High 
MED_3301,Medicine_188,BATCH_767,INJ,2023-12-04,2024-01-22,3515.0,490.88,1295007.14,,77,330,26.03,364,2023-11-16,304,34,SUP_473,cool,low risk
MED_9747,Medicine_445,BATCH_680,Injections,2023-07-05,2024-03-17,2761.0,160.35,1075717.47,37.0,259,1110,4.74,498,2023-03-20,79,20,SUP_927,Refrigerated,low
MED_9159,Medicine_664,BATCH_588,Ointments,2023-06-20,2024-04-17,2685.0,459.67,1057975.67,76.0,532,2280,18.75,361,2023-07-19,247,29,SUP_175,Ref,low
MED_9497,Medicine_615,BATCH_618,INJ,2023-10-26,,4540.0,181.16,513869.02,62.0,434,1860,37.0,410,2023-06-22,263,17,SUP_289,Cool Dry,0
MED_9817,Medicine_986,BATCH_327,Ointments,2023-12-23,,1735.0,151.39,744465.83,89.0,623,2670,25.17,162,2023-01-01,154,35,SUP_209,Ref,low
